,Fecha,market_value,costo_operacion,transacciones,roi,ganancia,transacciones acumuladas,costo acumulado,fondos_bal,fondos_venta
0,2021-07-05,90000.0,90.0,500,0.0,0.0,500,90.0,9910.0,0.0
1,2021-08-05,102106.8,83.86,497,13.45,12106.8,997,173.86,10162.74,834.12
2,2021-09-05,154212.25,133.77,482,71.35,64212.25,1479,307.62,15446.67,1301.46
3,2021-10-05,138364.77,123.27,494,53.74,48364.77,1973,430.9,16614.26,825.36
4,2021-11-05,166124.13,149.29,513,84.58,76124.13,2486,580.18,17216.21,1350.84
5,2021-12-05,134835.22,117.24,504,49.82,44835.22,2990,697.42,18451.63,1958.76
6,2022-01-05,124924.62,115.64,482,38.81,34924.62,3472,813.06,20277.7,1034.83
7,2022-02-05,101512.97,84.74,479,12.79,11512.97,3951,897.8,20175.18,570.86
8,2022-03-05,92318.35,81.71,461,2.58,2318.35,4412,979.51,18392.82,264.03
9,2022-04-05,112885.91,97.47,461,25.43,22885.91,4873,1076.98,18557.94,455.07
10,2022-05-05,82768.18,76.35,483,-8.04,-7231.82,5356,1153.33,16525.03,365.52
11,2022-06-05,57124.18,54.9,489,-36.53,-32875.82,5845,1208.23,11350.97,304.32
